,station_id,name,lat,lon,address,nearby_distance,capacity,_ride_code_support,is_charging_station,rent_key,rent_phone,rent_transit_card,rent_credit_card
429,7524,Lisgar Park,43.6423847,-79.4240277,Lisgar Park,1609.34,23,True,False,True,True,True,True
430,7526,Bartlett Parkette,43.6702236,-79.4360232,Bartlett Parkette,1609.34,23,True,False,True,True,True,True
431,7527,Joseph J Piccininni Community Centre,43.675648,-79.4527619,Joseph J Piccininni Community Centre,1609.34,19,True,False,True,True,True,True
432,7528,Spadina Rd / Austin Terrace,43.67883,-79.408723,Spadina Rd / Austin Terrace,1609.34,17,True,False,True,True,True,True
433,7529,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,Symington Ave / Davenport Rd,1609.34,13,True,False,True,True,True,True
434,7530,Sherbourne St N / Elm Ave,43.6752732,-79.3778458,Sherbourne St N / Elm Ave,1609.34,22,True,False,True,True,True,True
435,7531,541 Huron St - SMART,43.670206,-79.402643,541 Huron St,1609.34,19,True,False,True,True,False,True
436,7533,Housey St / Dan Leckie Way,43.63811,-79.397877,Housey St / Dan Leckie Way,1609.34,27,True,False,True,True,True,True
437,7534,Walnut Ave / Queen St W,43.645469,-79.411084,Walnut Ave / Queen St W,1609.34,16,True,False,True,True,True,True
438,7536,Palmerston Ave / Dundas St W,43.651603,-79.408346,Palmerston Ave / Dundas St W,1609.34,23,True,False,True,True,True,True
439,7537,Euclid Ave / Herrick St - SMART,43.661559,-79.413845,Euclid Ave / Herrick St,1609.34,16,True,False,True,True,False,True
440,7538,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,Vaughan Rd /Wychwood Ave,1609.34,19,True,False,True,True,True,True
441,7539,Davisville Ave / Pailton Cres,43.69933,-79.39199,Davisville Ave / Pailton Cres,1609.34,19,True,False,True,True,True,True
442,7540,Alvin Ave / St Clair Ave E,43.68871,-79.39264,Alvin Ave / St Clair Ave E,1609.34,19,True,False,True,True,True,True
443,7541,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,Bellwoods Ave / Treford Pl,1609.34,20,True,False,True,True,False,True
444,7542,Queen St W / John St,43.650077,-79.391291,Queen St W / John St,1609.34,23,True,False,True,True,True,True
445,7543,Nassau St / Bellevue Ave,43.65484215542248,-79.40351232494366,Nassau St / Bellvue Ave,1609.34,15,True,False,True,True,True,True
446,7545,Baldwin St / Henry St,43.6560758,-79.393259,Baldwin St / Henry St,1609.34,15,True,False,True,True,True,True
447,7546,Ross St / Cecil St - SMART,43.6568254,-79.3966159,Ross St / Cecil St,1609.34,18,True,False,True,True,False,True
448,7547,Orde St / McCaul St,43.6580442,-79.3927404,Orde St / McCaul St,1609.34,15,True,False,True,True,True,True
449,7548,St Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,St Joseph St / Bay St,1609.34,0,True,False,True,True,False,True
450,7549,439 Sherbourne St,43.666051,-79.374161,439 Sherbourne St,1609.34,47,True,False,True,True,True,True
451,7551,The Esplanade / Hahn Pl,43.649709,-79.364184,The Esplanade / Hahn Pl,1609.34,19,True,False,True,True,True,True
452,7552,Lake Shore Blvd W / Thirty Ninth Street,43.5927419,-79.54033009999999,Lake Shore Blvd W / Thirty Ninth Street,1609.34,19,True,False,True,True,True,True
453,7553,Lake Shore Blvd W / Twenty Fourth St,43.597082,-79.522768,Lake Shore Blvd W / Twenty Fourth St,1609.34,19,True,False,True,True,True,True
454,7554,Humber College,43.5961692,-79.5160575,Humber College,1609.34,27,True,False,True,True,True,True
455,7555,Royal York Rd / Mimico Ave,43.612063,-79.496573,Royal York Rd / Mimico Ave,1609.34,20,True,False,True,True,True,True
456,7556,Windsor St / Newcastle St,43.6171635,-79.4971065,Windsor St / Newcastle St,1609.34,31,True,False,True,True,True,True
457,7557,The Queensway / High St,43.630874,-79.482407,The Queensway / High St,1609.34,23,True,False,True,True,True,True
458,7558,Berry Rd / Bell Manor Dr,43.63732,-79.489083,Berry Rd / Bell Manor Dr,1609.34,19,True,False,True,True,True,True
459,7559,Swansea Community Centre,43.6438036,-79.4770327,Swansea Community Centre,1609.34,15,True,False,True,True,True,True
460,7561,Annette St / Jane St,43.658574,-79.487246,Annette St / Jane St,1609.34,15,True,False,True,True,True,True
461,7562,Priscilla  Ave / Dundas St W,43.664665,-79.489385,Priscilla  Ave / Dundas St W,1609.34,23,True,False,True,True,True,True
462,7563,St Clair Ave W / Castleton Ave,43.668496,-79.485426,St Clair Ave W / Castleton Ave,1609.34,19,True,False,True,True,True,True
463,7564,Durie St / Dundas St W,43.665523,-79.484892,Durie St / Dundas St W,1609.34,23,True,False,True,True,True,True
464,7565,St Clair Ave W / Gunns Rd,43.672079,-79.470171,St Clair Ave W / Gunns Rd,1609.34,23,True,False,True,True,True,True
465,7566,Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,Weston Rd / St Clair Ave W,1609.34,19,True,False,True,True,True,True
466,7567,Weston Lions Park,43.698841,-79.519472,Weston Lions Park,1609.34,27,True,False,True,True,True,True
467,7568,Jameson Ave / Queen St W,43.63985,-79.43703,Jameson Ave / Queen St W,1609.34,27,True,False,True,True,True,True
468,7569,Toronto Inukshuk Park,43.6323994,-79.40978179999999,Toronto Inukshuk Park,1609.34,47,True,False,True,True,True,True
