station_id,name,lat,lon,address,nearby_distance,rental_methods,capacity,_ride_code_support,is_charging_station
7065,Dundas St E / Parliament St,43.659575,-79.365769,Dundas St E / Parliament St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7066,Willcocks St / St. George St,43.662085,-79.397735,Willcocks St / St. George St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",17,True,False
7067,Yonge St / Harbour St,43.643795,-79.375413,Yonge St / Harbour St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",39,True,False
7068,Blantyre Park,43.68306889999999,-79.279682,163 Fallingbrook Rd,1609.34,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7069,Queen St W / Spadina Ave,43.649147,-79.395504,Queen St W / Spadina Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7070,25 York St – Union Station South,43.643667,-79.380414,25 York St – Union Station South,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,161 Bleecker St (South of Wellesley),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7072,Fleet St / Bathurst St,43.636611,-79.400042,Fleet St / Bathurst St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7073,Spadina Ave / Fort York Blvd,43.640114,-79.393249,Spadina Ave / Fort York Blvd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",23,True,False
7074,King St E / Church St,43.65003919999999,-79.3733541,St James Park,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,Queens Quay W / Dan Leckie Way,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
7076,York St / Queens Quay W,43.640132,-79.380464,York St / Queens Quay W,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",56,True,False
7077,College Park South,43.659777,-79.382767,College Park South,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7078,College St / Major St,43.6576,-79.4032,College St / Major St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7079,McGill St / Church St,43.660694,-79.379052,McGill St / Church St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7083,Danforth Ave / Barrington Ave,43.688325,-79.300463,Danforth Ave / Barrington Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7084,High Park - Grenadier Cafe,43.645599,-79.4657123,High Park - Grenadier Cafe,1609.34,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848,Danforth Ave / Westlake Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7087,Danforth Ave / Aldridge Ave,43.684758,-79.316767,Danforth Ave / Aldridge Ave,1000.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",11,True,False
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961,Danforth Ave / Coxwell Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7089,Church St  / Wood St,43.662712,-79.379903,Church St / Wood St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455,Danforth Ave / Lamb Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7091,Donlands Subway Station,43.681114,-79.3373885,Donlands Station,1000.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7092,Pape Subway Station (Green P),43.680223,-79.344062,Pape Subway Green P,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7093,Danforth Ave / Gough Ave,43.678401,-79.346289,Danforth Ave / Gough Ave,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",17,True,False
7094,Chester Subway Station,43.6784834,-79.3513564,23 Chester Ave.,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",9,True,False
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,Danforth Ave / Ellerbeck St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",14,True,False
7096,Lower Don River Trail and Taylor Creek Trail,43.7027268,-79.33368089999999,425 Don Mills Rd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",19,True,False
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704,Riverdale Park North (Broadview Ave),500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7099,Cherry St / Mill St,43.6513927,-79.35794659999999,Cherry St / Mill St,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",15,True,False
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275,Dundas St E / Regent Park Blvd,500.0,"['KEY', 'TRANSITCARD', 'CREDITCARD', 'PHONE']",27,True,False
