,Date/Time,Mean Temp (°C),Total Rain (mm),Total Snow (cm),Spd of Max Gust (km/h)
253,2017-09-11,15.5,0.0,0.0,<31
254,2017-09-12,17.1,0.0,0.0,<31
255,2017-09-13,18.2,0.0,0.0,<31
256,2017-09-14,21.5,0.0,0.0,32
257,2017-09-15,21.7,0.0,0.0,<31
258,2017-09-16,21.2,0.0,0.0,<31
259,2017-09-17,21.1,0.0,0.0,<31
260,2017-09-18,21.8,0.0,0.0,<31
261,2017-09-19,23.0,0.0,0.0,35
262,2017-09-20,21.9,0.0,0.0,<31
263,2017-09-21,21.6,0.0,0.0,<31
264,2017-09-22,21.9,0.0,0.0,<31
265,2017-09-23,25.4,0.0,0.0,<31
266,2017-09-24,26.5,0.0,0.0,<31
267,2017-09-25,25.8,0.0,0.0,<31
268,2017-09-26,25.6,0.0,0.0,32
269,2017-09-27,22.0,0.0,0.0,50
270,2017-09-28,13.6,0.0,0.0,43
271,2017-09-29,13.3,3.6,0.0,69
272,2017-09-30,10.5,0.0,0.0,41
273,2017-10-01,10.9,0.0,0.0,<31
274,2017-10-02,13.5,0.0,0.0,<31
275,2017-10-03,16.0,0.0,0.0,<31
276,2017-10-04,19.0,3.6,0.0,57
277,2017-10-05,15.9,0.0,0.0,46
278,2017-10-06,17.3,1.4,0.0,<31
279,2017-10-07,22.2,4.8,0.0,50
280,2017-10-08,20.9,0.6,0.0,61
281,2017-10-09,18.0,11.8,0.0,<31
282,2017-10-10,17.1,0.0,0.0,39
283,2017-10-11,10.5,2.8,0.0,41
284,2017-10-12,11.5,0.0,0.0,46
285,2017-10-13,15.5,0.4,0.0,<31
286,2017-10-14,15.5,8.8,0.0,<31
287,2017-10-15,16.0,7.8,0.0,102
288,2017-10-16,6.6,0.0,0.0,35
289,2017-10-17,11.1,0.0,0.0,54
290,2017-10-18,16.0,0.0,0.0,43
291,2017-10-19,14.1,0.0,0.0,52
292,2017-10-20,14.7,0.0,0.0,32
293,2017-10-21,15.4,0.0,0.0,<31
294,2017-10-22,15.6,,,
