station_id,name,lat,lon,address,capacity,ward_id,first_use
7270,Church St / Dundas St E - SMART,43.657024,-79.377257,Church St / Dundas St E,15,13,2018-01-02
7271,Yonge St / Alexander St - SMART,43.662862,-79.383572,Yonge St / Alexander St,18,13,2018-01-01
7272,Yonge St / Dundonald St - SMART,43.665801,-79.384796,Yonge St / Dundonald St,12,13,2018-01-02
7273,Bay St / Charles St W - SMART,43.668153,-79.38891,Bay St / Charles St W,20,11,2018-01-02
7274,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,Queen's Park Cres E / Grosvenor St,12,11,2018-01-02
7276,Bloor St W / Balmuto St,43.669903,-79.387802,Bloor St W / Balmuto St,11,11,2018-01-01
7277,Chorley Park - SMART,43.6856,-79.3718,Chorley Park,20,11,2018-01-02
7278,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,Mallon Ave / Jones Ave,16,14,2018-01-16
7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,Rosehill Ave / Avoca Ave,16,12,2018-01-02
7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,Charles St E / Jarvis St,20,13,2018-01-01
7281,Charles St W / Balmuto St - SMART,43.668427,-79.38725,Charles St W / Balmuto St,20,13,2018-01-01
7283,Front St W / Bay St (South Side),43.64595,-79.378761,Front St W / Bay St (South Side),19,10,2018-01-01
7284,University Ave / King St W - SMART,43.6477785,-79.3847928,University Ave / King St W,23,10,2018-01-02
7285,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,Spadina Ave / Harbord St,36,11,2018-01-02
7286,Gerrard St E / Broadview - SMART,43.665656,-79.352055,Gerrard St E / Broadview,18,14,2018-01-01
7287,Queen St E / Pape Ave - SMART,43.661673,-79.337789,Queen St E / Pape Ave,16,14,2018-01-02
7288,Humber Bay Shores Park West,43.6224434,-79.480284,Humber Bay Shores Park West,31,3,2018-01-04
